################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1         84   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.0509300772329438E-01   9.9001071918008388E-02  -5.3546288199552344E-02
         1         85   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.6261812123022631E-02  -7.7898310668199175E-02  -6.2577058170666347E-02
         1         86   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.4838424506318813E-02   4.1446807246179627E-02  -9.6648745467682290E-02
         1         87   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -5.1288527991470184E-02   4.8084264200190373E-02  -6.9560594333045039E-03
         1         88   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -6.6529677394182220E-03   1.3836683680060061E-02  -3.8940112497412992E-02
         1         89   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.4966096598471328E-02   1.5685931619835711E-02   3.9099327496662034E-02
         1         90   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.4380708644916639E-02   2.7593576243109649E-03  -1.4218386178071911E-02
         1         91   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.1993623727962588E-01   1.3187493171302841E-01  -2.3535652931529313E-02
         1         92   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.8238797298537980E-02  -1.8994307990997494E-02  -1.6694846200170702E-02
         1         93   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -6.6753792967204448E-02   5.3437750385556163E-02   7.2758192603616267E-02
         1         94   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.8652230332739314E-03   1.8442417248177360E-02   1.8853380106218145E-02
         1         95   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.8575026435435172E-02  -1.2623893766774352E-01   2.1077682456118058E-01
         1         96   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.1288527991504039E-02   4.8084264200086463E-02   6.9560594333668430E-03
         1         97   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.4966096598461277E-02   1.5685931619858148E-02  -3.9099327496640579E-02
         1         98   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -4.4380708644982718E-02   2.7593576243428682E-03   1.4218386178045810E-02
         1         99   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -6.8165528851031845E-02  -4.0003388941871824E-02   8.5055273832942910E-02
         1        100   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5132685930797894E-02  -6.4976821527314016E-02   3.4622299191011237E-02
         1        101   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.1654423453515619E-01  -1.8531497577245162E-01  -2.4702576824255411E-02
         1        102   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.1285465595718980E-01   9.7044984652223193E-02  -5.7978052243973142E-02
         1        103   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.6261812123005665E-02  -7.7898310668203893E-02   6.2577058170677963E-02
         1        104   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.4838424506323767E-02   4.1446807246168338E-02   9.6648745467649885E-02
